file_id	chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21q	chr22q
e87e7e3e-9059-47cf-9f45-8959250b037f	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
f890320a-abf1-4df2-b7d1-d736d9852347	unknown	0	1	1	-1	1	-1	unknown	1	-1	unknown	-1	1	1	-1	1	-1	-1	1	unknown	-1	-1	0	unknown	unknown	-1	-1	-1	-1	-1	unknown	0	-1	-1	1	1	1	1	unknown
b5e2f568-e6fc-4192-a3ab-da956e5bfa4c	-1	unknown	1	-1	0	0	unknown	0	-1	-1	1	-1	-1	unknown	-1	1	1	1	1	-1	-1	unknown	0	0	-1	-1	-1	-1	-1	unknown	unknown	1	unknown	unknown	unknown	-1	-1	1	-1
cde99ada-a596-4d5d-86c7-2ac5be24b02c	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
056b2c6b-fab6-42ff-ae28-96db4fb56ea6	unknown	1	1	0	-1	1	-1	-1	0	unknown	1	1	0	0	-1	0	-1	-1	1	unknown	0	unknown	1	1	-1	unknown	-1	1	-1	-1	-1	1	-1	1	unknown	1	1	1	-1
2560cd02-aa26-455e-9632-cdf1ff6245a3	-1	1	0	0	0	0	-1	-1	1	1	0	0	1	-1	1	1	0	0	-1	-1	0	0	0	0	1	0	1	1	-1	0	0	1	1	-1	-1	1	1	0	-1
9e929416-ed12-4a99-bfa2-18441c66a826	-1	1	0	unknown	-1	unknown	0	unknown	1	-1	0	0	1	1	-1	1	-1	-1	unknown	0	unknown	-1	1	1	unknown	-1	unknown	1	unknown	-1	1	0	-1	unknown	0	unknown	1	unknown	unknown
580d9a3d-e198-4e7b-aa1f-419d868bb0b5	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
4ccd388d-944f-425d-887d-07fb1a600b87	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
f5fe9655-f5b4-413b-882c-43b872e4ec23	-1	unknown	unknown	0	unknown	unknown	-1	unknown	1	-1	unknown	unknown	0	0	-1	1	0	unknown	1	unknown	unknown	unknown	-1	0	-1	0	unknown	1	-1	-1	1	-1	unknown	1	unknown	unknown	1	unknown	unknown
edb23f00-3813-49fd-8295-497f3fe4b9dc	0	unknown	0	0	0	0	0	0	1	1	0	0	1	1	unknown	1	0	0	0	0	unknown	-1	1	1	-1	0	0	1	-1	1	1	-1	-1	0	0	1	1	0	-1
e250054e-bcb6-4ee3-8bd6-a7e43e676fa5	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unknown	-1	0	0	0	0	0	0	0	0	0	0
29fdc300-034c-49bf-81c3-e1ec822b2f78	unknown	1	1	-1	0	0	-1	0	1	-1	0	0	1	1	-1	1	1	unknown	1	unknown	-1	unknown	unknown	-1	unknown	-1	-1	0	0	0	0	1	1	unknown	unknown	1	1	1	-1
358ccdfc-eef5-44be-95b4-4ed5df5d189f	unknown	1	-1	-1	-1	0	0	0	1	1	1	1	1	1	0	0	-1	-1	1	1	1	-1	0	unknown	1	-1	unknown	1	-1	-1	1	-1	-1	unknown	1	unknown	1	1	-1
